Start Station Code,Start Station Name,End Station Code,End Station Name,Cost
NE4,Chinatown,DT19,Chinatown,3.5
NE7,Little India,DT12,Little India,3
NE12,Serangoon,CC13,Serangoon,3.5
NE16,Sengkang,STC,Sengkang,1.5
NE17,Punggol,PTC,Punggol,1.5
CC4,Promenade,DT15,Promenade,3.5
CC10,MacPherson,DT26,MacPherson,3.5
CC17,Caldecott,TE9,Caldecott,3
CC19,Botanic Gardens,DT9,Botanic Gardens,4
CE1,Bayfront,DT16,Bayfront,3
TE11,Stevens,DT10,Stevens,3
DT1,Bukit Panjang,BP6,Bukit Panjang,5
